week,region,interest
2018-03-18,workout: (Worldwide),59.0
2018-03-25,workout: (Worldwide),58.0
2018-04-01,workout: (Worldwide),61.0
2018-04-08,workout: (Worldwide),57.0
2018-04-15,workout: (Worldwide),59.0
2018-04-22,workout: (Worldwide),55.0
2018-04-29,workout: (Worldwide),55.0
2018-05-06,workout: (Worldwide),57.0
2018-05-13,workout: (Worldwide),55.0
2018-05-20,workout: (Worldwide),56.0
2018-05-27,workout: (Worldwide),60.0
2018-06-03,workout: (Worldwide),56.0
2018-06-10,workout: (Worldwide),58.0
2018-06-17,workout: (Worldwide),54.0
2018-06-24,workout: (Worldwide),55.0
2018-07-01,workout: (Worldwide),51.0
2018-07-08,workout: (Worldwide),57.0
2018-07-15,workout: (Worldwide),61.0
2018-07-22,workout: (Worldwide),57.0
2018-07-29,workout: (Worldwide),56.0
2018-08-05,workout: (Worldwide),58.0
2018-08-12,workout: (Worldwide),55.0
2018-08-19,workout: (Worldwide),52.0
2018-08-26,workout: (Worldwide),49.0
2018-09-02,workout: (Worldwide),50.0
2018-09-09,workout: (Worldwide),50.0
2018-09-16,workout: (Worldwide),48.0
2018-09-23,workout: (Worldwide),47.0
2018-09-30,workout: (Worldwide),49.0
2018-10-07,workout: (Worldwide),49.0
2018-10-14,workout: (Worldwide),46.0
2018-10-21,workout: (Worldwide),46.0
2018-10-28,workout: (Worldwide),47.0
2018-11-04,workout: (Worldwide),47.0
2018-11-11,workout: (Worldwide),48.0
2018-11-18,workout: (Worldwide),44.0
2018-11-25,workout: (Worldwide),50.0
2018-12-02,workout: (Worldwide),48.0
2018-12-09,workout: (Worldwide),47.0
2018-12-16,workout: (Worldwide),46.0
2018-12-23,workout: (Worldwide),46.0
2018-12-30,workout: (Worldwide),61.0
2019-01-06,workout: (Worldwide),64.0
2019-01-13,workout: (Worldwide),64.0
2019-01-20,workout: (Worldwide),60.0
2019-01-27,workout: (Worldwide),60.0
2019-02-03,workout: (Worldwide),63.0
2019-02-10,workout: (Worldwide),54.0
2019-02-17,workout: (Worldwide),58.0
2019-02-24,workout: (Worldwide),59.0
2019-03-03,workout: (Worldwide),55.0
2019-03-10,workout: (Worldwide),54.0
2019-03-17,workout: (Worldwide),57.0
2019-03-24,workout: (Worldwide),56.0
2019-03-31,workout: (Worldwide),53.0
2019-04-07,workout: (Worldwide),54.0
2019-04-14,workout: (Worldwide),49.0
2019-04-21,workout: (Worldwide),51.0
2019-04-28,workout: (Worldwide),52.0
2019-05-05,workout: (Worldwide),53.0
2019-05-12,workout: (Worldwide),51.0
2019-05-19,workout: (Worldwide),55.0
2019-05-26,workout: (Worldwide),54.0
2019-06-02,workout: (Worldwide),56.0
2019-06-09,workout: (Worldwide),54.0
2019-06-16,workout: (Worldwide),54.0
2019-06-23,workout: (Worldwide),56.0
2019-06-30,workout: (Worldwide),51.0
2019-07-07,workout: (Worldwide),56.0
2019-07-14,workout: (Worldwide),55.0
2019-07-21,workout: (Worldwide),56.0
2019-07-28,workout: (Worldwide),55.0
2019-08-04,workout: (Worldwide),54.0
2019-08-11,workout: (Worldwide),54.0
2019-08-18,workout: (Worldwide),53.0
2019-08-25,workout: (Worldwide),49.0
2019-09-01,workout: (Worldwide),49.0
2019-09-08,workout: (Worldwide),52.0
2019-09-15,workout: (Worldwide),49.0
2019-09-22,workout: (Worldwide),47.0
2019-09-29,workout: (Worldwide),48.0
2019-10-06,workout: (Worldwide),47.0
2019-10-13,workout: (Worldwide),46.0
2019-10-20,workout: (Worldwide),48.0
2019-10-27,workout: (Worldwide),45.0
2019-11-03,workout: (Worldwide),47.0
2019-11-10,workout: (Worldwide),46.0
2019-11-17,workout: (Worldwide),55.0
2019-11-24,workout: (Worldwide),46.0
2019-12-01,workout: (Worldwide),48.0
2019-12-08,workout: (Worldwide),43.0
2019-12-15,workout: (Worldwide),46.0
2019-12-22,workout: (Worldwide),45.0
2019-12-29,workout: (Worldwide),59.0
2020-01-05,workout: (Worldwide),63.0
2020-01-12,workout: (Worldwide),64.0
2020-01-19,workout: (Worldwide),61.0
2020-01-26,workout: (Worldwide),60.0
2020-02-02,workout: (Worldwide),60.0
2020-02-09,workout: (Worldwide),56.0
2020-02-16,workout: (Worldwide),59.0
2020-02-23,workout: (Worldwide),56.0
2020-03-01,workout: (Worldwide),56.0
2020-03-08,workout: (Worldwide),52.0
2020-03-15,workout: (Worldwide),68.0
2020-05-31,workout: (Worldwide),67.0
2020-06-07,workout: (Worldwide),71.0
2020-06-14,workout: (Worldwide),71.0
2020-06-21,workout: (Worldwide),68.0
2020-06-28,workout: (Worldwide),68.0
2020-07-05,workout: (Worldwide),66.0
2020-07-12,workout: (Worldwide),65.0
2020-07-19,workout: (Worldwide),65.0
2020-07-26,workout: (Worldwide),61.0
2020-08-02,workout: (Worldwide),62.0
2020-08-09,workout: (Worldwide),61.0
2020-08-16,workout: (Worldwide),58.0
2020-08-23,workout: (Worldwide),60.0
2020-08-30,workout: (Worldwide),58.0
2020-09-06,workout: (Worldwide),58.0
2020-09-13,workout: (Worldwide),58.0
2020-09-20,workout: (Worldwide),57.0
2020-09-27,workout: (Worldwide),54.0
2020-10-04,workout: (Worldwide),55.0
2020-10-11,workout: (Worldwide),55.0
2020-10-18,workout: (Worldwide),52.0
2020-10-25,workout: (Worldwide),53.0
2020-11-01,workout: (Worldwide),48.0
2020-11-08,workout: (Worldwide),54.0
2020-11-15,workout: (Worldwide),53.0
2020-11-22,workout: (Worldwide),50.0
2020-11-29,workout: (Worldwide),55.0
2020-12-06,workout: (Worldwide),54.0
2020-12-13,workout: (Worldwide),51.0
2020-12-20,workout: (Worldwide),46.0
2020-12-27,workout: (Worldwide),62.0
2021-01-03,workout: (Worldwide),71.0
2021-01-10,workout: (Worldwide),69.0
2021-01-17,workout: (Worldwide),69.0
2021-01-24,workout: (Worldwide),68.0
2021-01-31,workout: (Worldwide),70.0
2021-02-07,workout: (Worldwide),62.0
2021-02-14,workout: (Worldwide),63.0
2021-02-21,workout: (Worldwide),62.0
2021-02-28,workout: (Worldwide),63.0
2021-03-07,workout: (Worldwide),63.0
2021-03-14,workout: (Worldwide),60.0
2021-03-21,workout: (Worldwide),62.0
2021-03-28,workout: (Worldwide),59.0
2021-04-04,workout: (Worldwide),62.0
2021-04-11,workout: (Worldwide),63.0
2021-04-18,workout: (Worldwide),59.0
2021-04-25,workout: (Worldwide),57.0
2021-05-02,workout: (Worldwide),58.0
2021-05-09,workout: (Worldwide),58.0
2021-05-16,workout: (Worldwide),57.0
2021-05-23,workout: (Worldwide),61.0
2021-05-30,workout: (Worldwide),62.0
2021-06-06,workout: (Worldwide),61.0
2021-06-13,workout: (Worldwide),61.0
2021-06-20,workout: (Worldwide),58.0
2021-06-27,workout: (Worldwide),59.0
2021-07-04,workout: (Worldwide),56.0
2021-07-11,workout: (Worldwide),59.0
2021-07-18,workout: (Worldwide),59.0
2021-07-25,workout: (Worldwide),61.0
2021-08-01,workout: (Worldwide),55.0
2021-08-08,workout: (Worldwide),55.0
2021-08-15,workout: (Worldwide),54.0
2021-08-22,workout: (Worldwide),55.0
2021-08-29,workout: (Worldwide),52.0
2021-09-05,workout: (Worldwide),51.0
2021-09-12,workout: (Worldwide),51.0
2021-09-19,workout: (Worldwide),52.0
2021-09-26,workout: (Worldwide),49.0
2021-10-03,workout: (Worldwide),50.0
2021-10-10,workout: (Worldwide),50.0
2021-10-17,workout: (Worldwide),47.0
2021-10-24,workout: (Worldwide),47.0
2021-10-31,workout: (Worldwide),47.0
2021-11-07,workout: (Worldwide),49.0
2021-11-14,workout: (Worldwide),47.0
2021-11-21,workout: (Worldwide),46.0
2021-11-28,workout: (Worldwide),47.0
2021-12-05,workout: (Worldwide),47.0
2021-12-12,workout: (Worldwide),47.0
2021-12-19,workout: (Worldwide),43.0
2021-12-26,workout: (Worldwide),51.0
2022-01-02,workout: (Worldwide),69.0
2022-01-09,workout: (Worldwide),63.0
2022-01-16,workout: (Worldwide),56.0
2022-01-23,workout: (Worldwide),59.0
2022-01-30,workout: (Worldwide),60.0
2022-02-06,workout: (Worldwide),61.0
2022-02-13,workout: (Worldwide),55.0
2022-02-20,workout: (Worldwide),55.0
2022-02-27,workout: (Worldwide),59.0
2022-03-06,workout: (Worldwide),57.0
2022-03-13,workout: (Worldwide),55.0
2022-03-20,workout: (Worldwide),56.0
2022-03-27,workout: (Worldwide),56.0
2022-04-03,workout: (Worldwide),54.0
2022-04-10,workout: (Worldwide),54.0
2022-04-17,workout: (Worldwide),53.0
2022-04-24,workout: (Worldwide),51.0
2022-05-01,workout: (Worldwide),56.0
2022-05-08,workout: (Worldwide),54.0
2022-05-15,workout: (Worldwide),53.0
2022-05-22,workout: (Worldwide),53.0
2022-05-29,workout: (Worldwide),53.0
2022-06-05,workout: (Worldwide),58.0
2022-06-12,workout: (Worldwide),61.0
2022-06-19,workout: (Worldwide),56.0
2022-06-26,workout: (Worldwide),54.0
2022-07-03,workout: (Worldwide),51.0
2022-07-10,workout: (Worldwide),56.0
2022-07-17,workout: (Worldwide),58.0
2022-07-24,workout: (Worldwide),52.0
2022-07-31,workout: (Worldwide),54.0
2022-08-07,workout: (Worldwide),54.0
2022-08-14,workout: (Worldwide),53.0
2022-08-21,workout: (Worldwide),55.0
2022-08-28,workout: (Worldwide),52.0
2022-09-04,workout: (Worldwide),49.0
2022-09-11,workout: (Worldwide),48.0
2022-09-18,workout: (Worldwide),48.0
2022-09-25,workout: (Worldwide),47.0
2022-10-02,workout: (Worldwide),46.0
2022-10-09,workout: (Worldwide),48.0
2022-10-16,workout: (Worldwide),44.0
2022-10-23,workout: (Worldwide),41.0
2022-10-30,workout: (Worldwide),47.0
2022-11-06,workout: (Worldwide),47.0
2022-11-13,workout: (Worldwide),47.0
2022-11-20,workout: (Worldwide),41.0
2022-11-27,workout: (Worldwide),46.0
2022-12-04,workout: (Worldwide),44.0
2022-12-11,workout: (Worldwide),44.0
2022-12-18,workout: (Worldwide),42.0
2022-12-25,workout: (Worldwide),51.0
2023-01-01,workout: (Worldwide),62.0
2023-01-08,workout: (Worldwide),59.0
2023-01-15,workout: (Worldwide),58.0
2023-01-22,workout: (Worldwide),58.0
2023-01-29,workout: (Worldwide),55.0
2023-02-05,workout: (Worldwide),57.0
2023-02-12,workout: (Worldwide),52.0
2023-02-19,workout: (Worldwide),55.0
2023-02-26,workout: (Worldwide),60.0
2023-03-05,workout: (Worldwide),55.0
2023-03-12,workout: (Worldwide),51.0
