customer_id,first_month,items_in_first_month,region_Asia/Pacific,region_Europe,region_Middle East/Africa,loyalty_years_3-Jan,loyalty_years_5-Mar,joining_month_Aug,joining_month_Dec,joining_month_Feb,joining_month_Jan,joining_month_Jul,joining_month_Jun,joining_month_Mar,joining_month_May,joining_month_Nov,joining_month_Oct,joining_month_Sep,promotion_Yes
391,15.35,6,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
255,13.66,13,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
1055,20.29,7,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True
1030,24.81,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
310,15.81,14,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
851,16.14,14,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
562,16.54,8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
803,16.18,14,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
887,21.5,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
179,16.0,14,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1122,17.0,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
927,15.78,9,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
266,16.9,9,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
988,20.86,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
981,21.36,7,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
89,24.87,9,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1099,21.34,7,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1068,21.12,9,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
448,13.57,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
809,21.06,9,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
661,15.73,14,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
615,25.28,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1179,16.04,6,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
804,20.97,9,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
267,18.95,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
60,20.47,12,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
606,17.01,5,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
755,21.03,5,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
707,24.92,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
553,15.27,6,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
359,19.05,8,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
674,13.72,13,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
789,21.1,9,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
906,19.45,7,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
794,13.62,13,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
706,16.47,5,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
773,25.29,8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
356,24.34,8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
84,21.39,7,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
130,16.61,7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
668,19.19,7,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1157,20.06,12,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
972,13.65,13,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
756,21.91,11,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
261,16.7,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
574,16.78,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1035,20.94,9,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
949,20.13,11,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
599,21.49,14,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
139,13.5,13,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
293,13.74,13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
998,16.08,9,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
142,25.02,11,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
589,26.14,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
542,21.39,14,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
431,21.35,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
140,20.9,9,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
416,26.2,8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
907,19.83,7,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
225,21.31,7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
372,21.46,7,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
275,24.51,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
652,25.6,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
645,21.28,9,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
740,25.18,7,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
618,20.41,11,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
739,21.07,14,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
614,15.71,14,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
728,21.49,13,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
718,21.32,14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
925,21.56,5,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
