customer_id,spend,first_month,items_in_first_month,region,loyalty_years,joining_month,promotion
0001,132.68,15.3,5,Asia/Pacific,5-10,Nov,No
0002,106.45,16.2,14,Asia/Pacific,0-1,Feb,Yes
0003,123.16,25.26,7,Middle East/Africa,10+,Dec,Yes
0004,130.6,24.74,8,Middle East/Africa,3-5,Apr,No
0005,130.41,25.59,8,Middle East/Africa,3-5,Apr,Yes
0006,127.46,21.45,7,Europe,3-5,May,Yes
0007,127.17,21.46,14,Middle East/Africa,3-5,NA,NO
0008,125.5,19.11,7,Asia/Pacific,3-5,Jul,Yes
0009,106.8,16.01,14,Americas,0-1,Feb,Yes
0010,112.28,21.49,7,Europe,0-1,May,NO
0011,119.49,13.47,13,Asia/Pacific,3-5,Oct,No
0012,137.59,21.32,9,Asia/Pacific,5-10,Jan,YES
0013,119.9,21.36,7,Asia/Pacific,10+,May,YES
0014,111.97,21.25,9,Americas,0-1,Jan,No
0015,130.12,24.38,9,Asia/Pacific,3-5,Apr,NO
0016,110.08,19.67,7,Europe,0-1,Jul,No
0017,132.67,15.79,5,Middle East/Africa,5-10,Nov,No
0018,109.79,19.37,7,Europe,0-1,Jul,Yes
0019,130.04,13.68,13,Europe,5-10,Oct,No
0020,126.32,15.63,14,Middle East/Africa,1-3,Feb,No
0021,131.87,15.94,6,Europe,5-10,Nov,No
0022,115.62,24.42,8,Asia/Pacific,0-1,Apr,Yes
0023,119.43,13.64,13,Middle East/Africa,3-5,Oct,No
0024,127.32,21.28,7,Middle East/Africa,3-5,May,No
0025,106.75,16.19,14,Middle East/Africa,0-1,NA,Yes
0026,136.57,19.49,7,Middle East/Africa,5-10,Jul,Yes
0027,131.27,.,9,Middle East/Africa,1-3,Jan,No
0028,141.85,.,8,Asia/Pacific,5-10,Apr,No
0029,129.82,13.77,13,Europe,5-10,Oct,YES
0030,137.68,21.22,13,Americas,5-10,Sep,No
0031,111.87,21.12,9,Middle East/Africa,0-1,Jan,Yes
0032,111.94,21.11,9,Europe,0-1,Jan,Yes
0033,137.93,21.43,14,Europe,5-10,NA,YES
0034,131.6,21.42,8,Europe,1-3,May,No
0035,122.14,15.63,14,Middle East/Africa,3-5,Feb,No
0036,106.57,15.76,14,Asia/Pacific,0-1,Feb,No
0037,107.86,16.86,5,Asia/Pacific,0-1,Mar,Yes
0038,109.83,19.33,8,Asia/Pacific,0-1,Jul,YES
0039,107.66,16.85,5,Asia/Pacific,0-1,Mar,Yes
0040,141.75,26.05,7,Asia/Pacific,5-10,Dec,Yes
0041,109.74,19.16,7,Asia/Pacific,0-1,Jul,No
0042,130.44,25.66,8,Middle East/Africa,3-5,NA,No
0043,112.42,21.38,7,Asia/Pacific,0-1,May,No
0044,112.09,13.59,13,Americas,10+,Oct,Yes
0045,127.18,21.55,7,Americas,3-5,NA,NO
0046,127.13,.,5,Americas,1-3,Mar,No
0047,110.66,19.65,7,Asia/Pacific,0-1,Jul,No
0048,119.41,13.69,14,Europe,3-5,Oct,Yes
0049,137.54,21.07,9,Americas,5-10,Jan,No
0050,122.75,.,5,Middle East/Africa,3-5,Mar,Yes
0051,131.82,21.25,13,Europe,1-3,Sep,No
0052,136.49,19.64,7,Americas,5-10,Jul,Yes
0053,125.9,19.13,7,Americas,3-5,Jul,Yes
0054,142.01,24.95,8,Middle East/Africa,5-10,Apr,Yes
0055,127.31,21.34,7,Middle East/Africa,3-5,May,Yes
0056,131.64,21.38,7,Middle East/Africa,1-3,May,No
0057,131.52,21.29,7,Europe,1-3,May,YES
0058,122.7,16.69,5,Middle East/Africa,3-5,Mar,Yes
0059,111.29,19.89,8,Americas,0-1,Jul,NO
0060,130.42,20.47,12,Europe,1-3,Jun,NO
0061,122.75,16.89,5,Europe,3-5,Mar,No
0062,136.85,.,11,Asia/Pacific,5-10,Jun,NO
0063,106.36,15.9,6,Asia/Pacific,0-1,Nov,Yes
0064,123.42,24.53,7,Americas,10+,NA,Yes
0065,134.58,24.8,9,Middle East/Africa,1-3,Apr,No
0066,126.98,21.02,9,Asia/Pacific,3-5,Jan,No
0067,131.26,.,9,Americas,1-3,Jan,Yes
0068,137.64,21.3,14,Americas,5-10,Sep,YES
0069,106.63,15.85,14,Americas,0-1,Feb,Yes
0070,110.69,19.86,7,Middle East/Africa,0-1,Jul,No
0071,126.9,21.08,9,Europe,3-5,Jan,Yes
0072,107.11,16.09,14,Asia/Pacific,0-1,Feb,Yes
0073,127.26,.,14,Middle East/Africa,3-5,NA,No
0074,135.48,20.6,7,Middle East/Africa,5-10,Jul,Yes
0075,126.52,17.69,9,Americas,1-3,Aug,Yes
0076,115.57,25.77,8,Middle East/Africa,0-1,NA,YES
0077,123.05,24.43,8,Europe,10+,Apr,Yes
0078,141.04,24.09,9,Asia/Pacific,5-10,Apr,NO
0079,135.96,19.38,7,Europe,5-10,Jul,Yes
0080,135.69,19.53,7,Europe,5-10,Jul,No
0081,131.69,21.34,7,Asia/Pacific,1-3,May,Yes
0082,119.36,13.49,13,Asia/Pacific,3-5,Oct,Yes
0083,121.71,16.07,14,Europe,3-5,Feb,No
0084,131.58,21.39,7,Europe,1-3,May,No
0085,125.86,17.45,5,Europe,1-3,Nov,Yes
0086,112.13,21.66,14,Middle East/Africa,0-1,NA,No
0087,129.5,18.81,8,Asia/Pacific,1-3,Jul,No
0088,106.61,15.79,14,Europe,0-1,Feb,Yes
0089,115.11,24.87,9,Middle East/Africa,0-1,Apr,Yes
0090,112.02,21.35,9,Asia/Pacific,0-1,Jan,No
0091,106.28,15.81,14,Americas,0-1,Feb,No
0092,132.07,15.89,14,Americas,5-10,Feb,No
0093,130,13.55,13,Asia/Pacific,5-10,Oct,No
0094,127.32,21.57,14,Middle East/Africa,3-5,Sep,No
0095,125.72,19.61,7,Middle East/Africa,3-5,Jul,Yes
0096,112.35,21.41,7,Middle East/Africa,0-1,May,Yes
0097,136.72,20.09,11,Middle East/Africa,5-10,Jun,Yes
0098,136.31,19.13,7,Europe,5-10,Jul,YES
0099,130.77,25.01,8,Middle East/Africa,3-5,Apr,Yes
0100,119.73,21.4,14,Middle East/Africa,10+,Sep,No
0101,134.94,24.65,8,Europe,1-3,Dec,No
0102,106.8,15.96,5,Asia/Pacific,0-1,NA,No
0103,125.95,.,14,Middle East/Africa,1-3,Feb,No
0104,137.72,21.67,7,Middle East/Africa,5-10,May,No
0105,114.72,.,9,Middle East/Africa,10+,NA,No
0106,119.32,13.5,13,Europe,3-5,Oct,Yes
0107,119.95,21.46,7,Americas,10+,May,YES
0108,131.68,21.33,7,Middle East/Africa,1-3,May,No
0109,114.22,15.8,14,Americas,10+,Feb,YES
0110,110.23,19.91,8,Americas,0-1,Jul,No
0111,126,16.7,8,Americas,1-3,Aug,Yes
0112,126.98,21.47,14,Middle East/Africa,3-5,Sep,No
0113,112.24,21.18,9,Americas,0-1,Jan,No
0114,107.65,16.85,5,Americas,0-1,Mar,Yes
0115,132.63,16.17,9,Middle East/Africa,5-10,Aug,Yes
0116,131.55,21.63,7,Americas,1-3,May,Yes
0117,132.97,15.62,5,Middle East/Africa,5-10,Nov,Yes
0118,135.42,19.59,7,Asia/Pacific,5-10,Jul,Yes
0119,141.35,24.43,7,Americas,5-10,NA,NO
0120,131.87,21.35,7,Europe,1-3,May,Yes
0121,123.28,24.55,7,Europe,10+,Dec,Yes
0122,107.65,16.75,5,Asia/Pacific,0-1,Mar,No
0123,127.35,20.51,11,Europe,3-5,Jun,Yes
0124,126.82,16.03,10,Middle East/Africa,1-3,Aug,No
0125,104.44,13.53,14,Middle East/Africa,0-1,Oct,Yes
0126,110.08,19.13,7,Middle East/Africa,0-1,Jul,Yes
0127,112.27,20.96,9,Asia/Pacific,0-1,Jan,Yes
0128,136.83,.,11,Europe,5-10,Jun,Yes
0129,122.66,16.61,6,Americas,3-5,Mar,No
0130,131.59,.,7,Americas,1-3,May,Yes
0131,123.36,24.98,7,Americas,10+,Dec,Yes
