customer_id,spend,first_month,items_in_first_month,region,loyalty_years,joining_month,promotion
0001,135.39,15.44,10,Middle East/Africa,5-10,Feb,Yes
0002,129.74,20.12,12,Europe,10+,Jun,No
0003,138.61,18.38,5,Middle East/Africa,5-10,Oct,No
0004,129.94,20.13,5,Asia/Pacific,10+,Sep,No
0006,77.56,23.04,10,Europe,1-3,May,No
0008,123.77,13.87,8,Americas,10+,Nov,No
0009,142.62,16.83,15,Americas,0-1,Mar,Yes
0010,68.94,14.3,8,Europe,1-3,Nov,No
0011,140.59,20.2,12,Asia/Pacific,5-10,Jun,Yes
0012,69.98,15.46,10,Asia/Pacific,1-3,Feb,Yes
0013,74.78,20.12,12,Americas,1-3,Jun,Yes
0014,74.79,20.38,12,Americas,1-3,Jun,Yes
0015,151.33,22.63,9,Americas,3-5,May,Yes
0018,148.6,20.15,9,Europe,3-5,Jul,Yes
0020,65.89,12.04,5,Asia/Pacific,1-3,Jan,Yes
0021,151.43,21.86,13,Asia/Pacific,3-5,Aug,Yes
0022,146.96,20.89,7,Middle East/Africa,0-1,Jul,No
0023,79.96,25.66,11,Europe,1-3,Apr,Yes
0024,149.31,23.1,8,Americas,0-1,May,No
0025,70.94,16.56,15,Middle East/Africa,1-3,Mar,Yes
0026,135.66,15.74,10,Middle East/Africa,5-10,Feb,Yes
0027,151.31,25.3,12,Middle East/Africa,0-1,Apr,No
0028,150.4,21.82,12,Asia/Pacific,3-5,Dec,Yes
0029,71.35,16.41,14,Americas,1-3,Mar,No
0030,65.61,11.32,5,Asia/Pacific,1-3,Jan,No
0031,74.92,19.83,7,Asia/Pacific,1-3,Jul,No
0032,131.45,21.85,12,Middle East/Africa,10+,Dec,No
0033,134.39,14.2,8,Middle East/Africa,5-10,Nov,No
0035,148.35,21.89,6,Europe,3-5,Sep,No
0036,137.01,11.25,4,Asia/Pacific,0-1,Jan,No
0038,127.82,18.16,6,Americas,10+,Oct,No
0039,74.87,20.32,12,Europe,1-3,Jun,Yes
0040,129.99,20.27,5,Middle East/Africa,10+,Sep,No
0041,136.55,16.42,14,Americas,5-10,Mar,No
0042,142.47,16.54,15,Americas,0-1,Mar,No
0043,136.7,16.83,14,Americas,5-10,Mar,Yes
0044,66.36,11.66,4,Middle East/Africa,1-3,Jan,No
0045,140.2,21.2,8,Asia/Pacific,5-10,Jul,No
0048,143.51,15.36,10,Americas,3-5,Feb,Yes
0049,146.52,21.43,7,Middle East/Africa,0-1,Jul,No
0051,137.56,11.17,5,Middle East/Africa,0-1,Jan,Yes
0052,148.62,20.27,12,Americas,3-5,Jun,No
0053,132.28,22.86,8,Asia/Pacific,10+,May,Yes
0055,77.19,23.05,14,Europe,1-3,Aug,No
0057,138.51,18.33,6,Middle East/Africa,5-10,Oct,No
0058,147.7,22.44,13,Americas,0-1,Aug,Yes
0059,123.31,14.42,8,Asia/Pacific,10+,Nov,No
0060,150.5,23.16,14,Europe,3-5,Aug,No
0061,72.71,18.12,5,Americas,1-3,Oct,No
0062,137.75,11.28,5,Americas,0-1,Jan,No
0063,151.44,25.28,11,Asia/Pacific,0-1,Apr,Yes
0064,148.99,23.39,8,Europe,0-1,May,No
0065,142.43,22.65,13,Middle East/Africa,5-10,Aug,No
0068,148.5,21.86,14,Americas,0-1,Aug,No
0069,151.38,25.55,11,Americas,0-1,Apr,No
0071,77.35,23.54,8,Americas,1-3,May,Yes
0072,69.89,15.11,11,Americas,1-3,Feb,No
0073,138.62,18.2,5,Europe,5-10,Oct,No
0074,142.45,16.51,15,Americas,0-1,Mar,No
0076,140.39,20.16,12,Middle East/Africa,5-10,Jun,Yes
0078,146.37,18.08,6,Middle East/Africa,3-5,Oct,Yes
0079,148.67,23.05,8,Europe,0-1,May,No
0080,77.18,22.31,14,Americas,1-3,Aug,No
0081,145.05,17.1,15,Asia/Pacific,3-5,Mar,Yes
0082,151.31,25.47,11,Middle East/Africa,0-1,Apr,No
0084,153.84,25.32,11,Asia/Pacific,3-5,Apr,Yes
0085,145.65,25.28,11,Asia/Pacific,5-10,Apr,No
0086,151.5,25.29,11,Americas,0-1,Apr,Yes
0087,71.18,17.07,14,Middle East/Africa,1-3,Mar,Yes
0088,126.18,17.12,14,Asia/Pacific,10+,Mar,No
0089,143.56,15.6,10,Asia/Pacific,3-5,Feb,No
0090,137.32,11.42,5,Americas,0-1,Jan,No
0091,151.24,22.7,13,Asia/Pacific,3-5,Aug,No
0092,148.58,20.51,6,Europe,3-5,Sep,No
0093,148.29,20.19,5,Asia/Pacific,3-5,Sep,No
0094,137.56,11.68,5,Asia/Pacific,0-1,Jan,No
0095,139.93,14.34,8,Europe,0-1,Nov,Yes
0096,134.43,14.4,8,Europe,5-10,Nov,Yes
0097,77.46,22.99,8,Americas,1-3,May,Yes
0098,137.16,11.32,5,Middle East/Africa,0-1,Jan,No
0100,151.08,22.81,8,Middle East/Africa,3-5,May,No
0101,141.69,15.63,10,Middle East/Africa,0-1,Feb,Yes
0102,139.93,11.4,5,Asia/Pacific,3-5,Jan,No
0104,151.24,25.61,11,Americas,0-1,Apr,Yes
0106,123.59,13.96,8,Middle East/Africa,10+,Nov,No
0108,131.39,21.47,12,Europe,10+,Dec,No
0109,143.72,15.27,10,Europe,3-5,Feb,No
0110,129.57,20.98,8,Asia/Pacific,10+,Jul,Yes
0111,138.73,18.23,5,Asia/Pacific,5-10,Oct,Yes
0112,151.34,25.42,12,Americas,0-1,Apr,No
0113,138.54,18.38,6,Europe,5-10,Oct,No
0114,77.4,23.08,8,Middle East/Africa,1-3,May,Yes
0115,132.13,22.71,9,Asia/Pacific,10+,May,No
0116,65.78,11.26,5,Middle East/Africa,1-3,Jan,Yes
0117,123.45,14.06,8,Asia/Pacific,10+,Nov,Yes
0118,140.42,20.32,12,Europe,5-10,Jun,Yes
0120,141.24,15.3,10,Asia/Pacific,0-1,Feb,Yes
0121,148.63,20.32,12,Asia/Pacific,3-5,Jun,No
0122,147.84,24.38,13,Europe,0-1,Aug,Yes
0126,77.92,21.98,14,Americas,1-3,Aug,Yes
0127,140.52,14.01,8,Americas,0-1,Nov,Yes
0128,69.99,15.24,10,Europe,1-3,Feb,Yes
0130,148.67,20.4,8,Europe,3-5,Jul,Yes
0131,150.51,22.2,13,Americas,3-5,Aug,No
0132,137.32,11.67,5,Europe,0-1,Jan,No
0133,76.54,21.77,13,Middle East/Africa,1-3,Dec,Yes
0134,141.32,15.11,10,Americas,0-1,Feb,No
0135,74.73,20.37,12,Middle East/Africa,1-3,Jun,Yes
0137,138.42,18.46,5,Europe,5-10,Oct,Yes
0138,148.56,22.36,14,Middle East/Africa,0-1,Aug,Yes
0139,66.19,11.54,4,Europe,1-3,Jan,No
0140,151.58,25.63,11,Americas,0-1,Apr,Yes
0141,148.41,19.9,7,Americas,3-5,Jul,No
0143,74.8,20.46,12,Middle East/Africa,1-3,Jun,No
0144,146.43,20.3,12,Asia/Pacific,0-1,Jun,No
0145,78.02,22.6,8,Europe,1-3,May,Yes
0146,139.68,11.34,4,Europe,3-5,Jan,No
0147,131.93,22.43,13,Americas,10+,Aug,Yes
0148,75.64,20.58,8,Asia/Pacific,1-3,Jul,No
0149,146.23,20.28,12,Asia/Pacific,0-1,Jun,Yes
0150,123.79,14.45,9,Asia/Pacific,10+,Nov,No
0151,150.45,23.08,14,Europe,3-5,Aug,Yes
0152,74.81,20.7,7,Asia/Pacific,1-3,Jul,No
0153,140.76,20.4,5,Asia/Pacific,5-10,Sep,Yes
0154,132.07,11.03,5,Middle East/Africa,5-10,Jan,No
0155,139.51,11.39,5,Asia/Pacific,3-5,Jan,No
0159,153.65,25.42,11,Europe,3-5,Apr,No
0160,148.44,20.43,8,Middle East/Africa,3-5,Jul,Yes
0161,137.17,11.72,5,Middle East/Africa,0-1,Jan,Yes
0162,144.83,16.72,15,Americas,3-5,Mar,No
0164,138.64,18.18,6,Americas,5-10,Oct,No
0165,150.32,21.84,15,Europe,0-1,Aug,Yes
0166,142.77,16.5,14,Americas,0-1,Mar,No
0170,146.27,21.53,8,Americas,0-1,Jul,No
0171,142.61,16.67,15,Europe,0-1,Mar,No
